name,state,category,rating,,,,,,,,,,Weighted_Average
Shri Sai Baba Temple Shirdi,Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
"Prasadalaya Shirdi , Saibaba Mandir",Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
Sai Heritage Village,Maharashtra,Heritage museum,4.3,,,,,,,,,,4.49
Shree Saibaba Chavadi,Maharashtra,Hindu temple,4.8,,,,,,,,,,4.69
Chhatrapati Sambhaji Park,Maharashtra,Garden,4.3,,,,,,,,,,4.35
Shri Khandoba Mandir,Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
Lendi Garden / Baug,Maharashtra,Park,4.5,,,,,,,,,,4.35
Dixit Wada Museum,Maharashtra,Museum,4.4,,,,,,,,,,4.49
Mehrangarh Fort,Rajasthan,Historical landmark,4.6,,,,,,,,,,4.51
Jaswant Thada,Rajasthan,Historical place museum,4.4,,,,,,,,,,4.51
Rao Jodha Desert Rock Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Toorji Ka Jhalra Bavdi,Rajasthan,Historical landmark,4.3,,,,,,,,,,4.51
Ummed Garden,Rajasthan,Park,4.2,,,,,,,,,,4.38
"Sardar Government Museum, Jodhpur",Rajasthan,Museum,4.3,,,,,,,,,,4.51
Sheesh Palace,Rajasthan,Museum,4.7,,,,,,,,,,4.51
Jai Pol,Rajasthan,Historical landmark,4.4,,,,,,,,,,4.51
Arulmigu Manakula Vinayagar Devasthanam,Puducherry,Hindu temple,4.7,,,,,,,,,,4.67
Bharathi Park Puducherry,Puducherry,Park,4.2,,,,,,,,,,4.44
Rock Beach,Puducherry,Public beach,4.5,,,,,,,,,,4.44
Puducherry Museum,Puducherry,Museum,4.1,,,,,,,,,,4.14
Immaculate Conception Cathedral,Puducherry,Catholic cathedral,4.5,,,,,,,,,,4.67
Sri Varadaraja Perumal Temple,Puducherry,Hindu temple,4.7,,,,,,,,,,4.67
Mahakavi Bharathiyar Memorial Centre,Puducherry,Museum,4.6,,,,,,,,,,4.14
Raja Dinkar Kelkar Museum,Maharashtra,Museum,4.4,,,,,,,,,,4.49
Osho Teerth Park,Maharashtra,Park,4.1,,,,,,,,,,4.35
Darshan Museum,Maharashtra,Museum,4.5,,,,,,,,,,4.49
Shaniwar Wada,Maharashtra,Historical landmark,4.3,,,,,,,,,,4.49
Katraj Lake,Maharashtra,Historical landmark,4.2,,,,,,,,,,4.49
Laal Mahal,Maharashtra,Historical landmark,4.5,,,,,,,,,,4.49
Shree Devdeveshwar Temple (Parvati Temple),Maharashtra,Hindu temple,4.5,,,,,,,,,,4.69
Bagul Udyan,Maharashtra,Park,4.2,,,,,,,,,,4.35
Vishrambaug Wada,Maharashtra,Historical landmark,4.3,,,,,,,,,,4.49
Mahatma Phule Museum,Maharashtra,Museum,4.1,,,,,,,,,,4.49
Parvati Hill,Maharashtra,Historical landmark,4.5,,,,,,,,,,4.49
Pashan Hill,Maharashtra,Park,4.5,,,,,,,,,,4.35
Peshwe Museum,Maharashtra,Museum,4.3,,,,,,,,,,4.49
Zero Stone,Maharashtra,Historical landmark,4.4,,,,,,,,,,4.49
Nana Wada,Maharashtra,Historical landmark,4.3,,,,,,,,,,4.49
Matheran Hill Station,Maharashtra,Hill station,4.5,,,,,,,,,,4.35
Matheran Shiv Mandir,Maharashtra,Hindu temple,4.2,,,,,,,,,,4.69
Panorama Point,Maharashtra,Scenic spot,4.6,,,,,,,,,,4.35
Madhavji Point,Maharashtra,Park,4.3,,,,,,,,,,4.35
Pay Master Park,Maharashtra,Park,4.2,,,,,,,,,,4.35
Pisarnath Mahadev Mandir,Maharashtra,Hindu temple,4.6,,,,,,,,,,4.69
Tapovan Temple,Uttarakhand,Hindu temple,4.3,,,,,,,,,,4.64
Tapkeshwar Mahadev Mandir,Uttarakhand,Hindu temple,4.7,,,,,,,,,,4.64
Malsi Deer Park,Uttarakhand,Park,4.1,,,,,,,,,,4.34
Jheel Clement Town,Uttarakhand,Nature preserve,4.3,,,,,,,,,,4.34
Khalanga War Memorial,Uttarakhand,Historical landmark,4.5,,,,,,,,,,4.49
Chandrabani Temple,Uttarakhand,Hindu temple,4.4,,,,,,,,,,4.64
Subir Raha Oil Museum,Uttarakhand,Museum,4.5,,,,,,,,,,4.49
Zonal Anthropological Museum,Uttarakhand,Museum,4.1,,,,,,,,,,4.49
Ajanta Caves Waterfall,Maharashtra,Scenic spot,4.5,,,,,,,,,,4.35
Upper View Point Ajanta Caves,Maharashtra,Vista point,4.6,,,,,,,,,,4.35
Ajanta Cave,Maharashtra,Archaeological site,4.7,,,,,,,,,,4.49
Middle View Point ( Ajanta Caves ),Maharashtra,Vista point,4.6,,,,,,,,,,4.35
Shri Garib Nath Mandir,Bihar,Hindu temple,4.7,,,,,,,,,,4.65
Shri Raj Rajeshwari Devi Temple,Bihar,Hindu temple,4.7,,,,,,,,,,4.65
Saraiyaganj Tower,Bihar,Historical landmark,4.2,,,,,,,,,,4.19
Shahid Khudiram Bose Smarak sthal,Bihar,Garden,4.1,,,,,,,,,,4.19
Ramchandra Shahi Sangrahalaya,Bihar,Museum,4.1,,,,,,,,,,4.19
Bharat Mata Naman Sthal,Bihar,Park,4.2,,,,,,,,,,4.19
City park,Bihar,Park,4.2,,,,,,,,,,4.19
Zakaria Colony Masjid dhkhry khlwny msjd,Bihar,Mosque,4.3,,,,,,,,,,4.65
"Shree Durga Temple,Katihar",Bihar,Hindu temple,4.6,,,,,,,,,,4.65
mnihaarii ghaatt (gNgaa),Bihar,Religious destination,4.2,,,,,,,,,,4.65
BARGANDI GARDEN (HIDDEN GARDEN),Bihar,Garden,4.2,,,,,,,,,,4.19
Swarna Jayanti Park,Bihar,Park,4.1,,,,,,,,,,4.19
Kelo Dam Park,Chhattisgarh,Park,4.1,,,,,,,,,,4.21
Kabir chowk,Chhattisgarh,Historical landmark,4.1,,,,,,,,,,4.33
Pahad Mandir (Hanumaan Temple),Chhattisgarh,Hindu temple,4.5,,,,,,,,,,4.49
Atal Rock Garden,Chhattisgarh,Garden,4.1,,,,,,,,,,4.21
Ambedkar chowk raigarh,Chhattisgarh,Garden,4.5,,,,,,,,,,4.21
Sinquerim Fort,Goa,Fortress,4.5,,,,,,,,,,4.25
