name,cuisine,avg_meal_cost,city,rating
Local,"North Indian,  Finger Food,  Continental",2000,Delhi,4.1
The G.T. ROAD,North Indian,1500,Delhi,4.3
Tamasha,"Finger Food,  North Indian,  Italian,  Continental,  Asian",2000,Delhi,4.2
The Junkyard Cafe,"North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",1800,Delhi,4.2
Chili's American Grill and Bar,"Mexican,  American,  Italian",2000,Delhi,4.4
Ardor 2.1 Restaurant and Lounge,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",2000,Delhi,3.9
The Luggage Room By Sandoz,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1800,Delhi,4
QBA,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",2100,Delhi,4.3
My Bar Square,"Finger Food,  Italian,  Chinese,  Continental",1500,Delhi,3.9
Ghoomar Traditional Thali Restaurant,Rajasthani,1000,Delhi,4.2
Station Bar,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",2000,Delhi,4.1
Warehouse Cafe,"North Indian,  Fusion,  Italian,  Chinese",2500,Delhi,4.1
Padmanabham,South Indian,700,Delhi,4.2
Unplugged Courtyard,"North Indian,  Continental",2000,Delhi,4.1
38 Barracks,"North Indian,  Italian,  Chinese,  Continental",1700,Delhi,4.3
Ministry Of Beer,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",2100,Delhi,4
Sandoz,"North Indian,  Chinese,  Mughlai",1500,Delhi,4.2
Farzi Cafe,"Modern Indian,  Continental,  Finger Food",2000,Delhi,4.2
Openhouse Cafe,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",2200,Delhi,4.2
Lord of the Drinks,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",2000,Delhi,4.2
Lazeez Affaire,"North Indian,  Mughlai",2600,Delhi,4.2
OTB Courtyard,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",2000,Delhi,4.1
The Darzi Bar & Kitchen,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",2000,Delhi,4.1
Route 04,"Finger Food,  Italian,  Continental,  American,  Tex Mex",2000,Delhi,4.2
Kwality Restaurant,"North Indian,  Continental",2000,Delhi,4.5
Castle Barbeque,"North Indian,  Chinese",2000,Delhi,3.5
Teddy Boy,"North Indian,  Continental,  Italian,  Chinese",2000,Delhi,4.2
Tamra,"Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental ",4000,Delhi,4.4
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Delhi,4.4
The Imperial Spice,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental ",2800,Delhi,4.4
Informal By Imperfecto,"Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",2400,Delhi,4.1
Boa Village,"Asian,  Chinese,  Japanese,  Korean",2000,Delhi,4.4
Cafe MRP,"North Indian,  Italian,  Oriental ",1400,Delhi,4.2
Caffe Tonino,Italian,2000,Delhi,4.5
Desi Vibes,"North Indian,  Mughlai",2200,Delhi,4.2
Cafe High5,"North Indian,  Chinese,  Continental,  Oriental ",1800,Delhi,3.9
Master Of Malts,"Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",2000,Delhi,4.1
TEO - Lounge & Bar,"North Indian,  Oriental ,  Italian",1200,Delhi,3.9
Connaught Clubhouse,"Multi-Cuisine,  Italian,  Mexican,  Asian",2500,Delhi,4.2
Cafe Hawkers,"North Indian,  Italian,  Fast Food",1200,Delhi,4.3
Dhaba Estd 1986 Delhi,North Indian,1200,Delhi,4.2
My Bar Headquarters,"Finger Food,  North Indian,  Italian,  Chinese",1500,Delhi,4.1
Zaffran,"North Indian,  Mughlai",1000,Delhi,4.5
Oh My God,"North Indian,  Italian,  Chinese,  Continental",2200,Delhi,4.1
Daryaganj,"North Indian,  Mughlai",2000,Delhi,4.1
Berco's,"Chinese,  Thai",1500,Delhi,4.3
Barbeque Nation,"North Indian,  Barbecue,  Mughlai",1700,Delhi,4.4
Bagundi,"South Indian,  Andhra,  Seafood",1000,Delhi,4.3
Biryani By Kilo,"Mughlai,  Biryani",800,Delhi,4.1
Sincity,"North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",1800,Delhi,3.8
Naivedyam,South Indian,500,Delhi,3.8
AIR An Ivory Region,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",1200,Delhi,4
Punjab Grill,"North Indian,  Mughlai",2200,Delhi,4.1
The Immigrant Cafe,"North Indian,  Italian,  Continental",2100,Delhi,4
Pind Balluchi,"North Indian,  Mughlai",1800,Delhi,4
Bo-Tai Switch,"Italian,  Thai",1200,Delhi,4.1
Taste of China,"Chinese,  Thai",2000,Delhi,4.1
Blues,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",2000,Delhi,4.2
Taco Bell,"Mexican,  Tex Mex",500,Delhi,4
The Host,"North Indian,  Chinese,  Seafood,  Mughlai,  Oriental ",2500,Delhi,4.2
THE ART HOUSE Restaurant,"North Indian,  Italian,  Continental",2500,Delhi,3.9
DR Zombie,"Italian,  American,  Coffee",1800,Delhi,4.1
Wok in the Clouds,"Chinese,  Thai,  Asian,  North Indian,  Continental",2200,Delhi,4.4
Kinbuck 2,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",1800,Delhi,3.8
Ranisa,Rajasthani,800,Delhi,4.4
The Embassy,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",2800,Delhi,4.2
World Of My Bar,"North Indian,  Italian,  Fast Food",2200,Delhi,4.1
Biryani Blues,"Biryani,  Hyderabadi",1200,Delhi,4.2
Chaayos,"Street Food,  Tea,  Fast Food",500,Delhi,4.2
The Great Kabab Factory,"North Indian,  Mughlai",3000,Delhi,4.2
Khandani Rajdhani,"Gujarati,  Rajasthani",1000,Delhi,4
Chaayos,"Street Food,  Tea,  Fast Food",500,Delhi,4.3
Mughal-E-Hazam,North Indian,1200,Delhi,5
Creme Borne,"Desserts,  Ice Cream,  Fast Food",500,Delhi,4.8
The Imperial Cafe,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",2500,Delhi,4.4
Sorrento,Italian,4000,Delhi,4.5
Handi Chhadeyan Di,North Indian,800,Delhi,4.3
The Chai Story,"Fast Food,  Tea",400,Delhi,4.1
Fifty9,"North Indian,  Continental,  Oriental ",2800,Delhi,3.7
Shang Palace,"Chinese,  Asian",4000,Delhi,4.6
Veda,"North Indian,  Seafood,  Mughlai",2700,Delhi,4.1
Baluchi,"North Indian,  Mughlai",4000,Delhi,4.4
The Connaught Bar,Finger Food,2200,Delhi,3.7
Kapurthala Kitchen,"North Indian,  Chinese,  Continental",1200,Delhi,2.9
Bistro 55,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",500,Delhi,5
Giani,"Desserts,  Ice Cream,  Shakes",400,Delhi,3
Mamagoto,"Asian,  Chinese,  Thai,  Japanese",1500,Delhi,4.5
Cinnabon,"Desserts,  Bakery and Confectionary,  Coffee",500,Delhi,3.8
Fat Lulu's,"Italian,  Pizza,  Fast Food",1500,Delhi,4.5
Pikkle,"Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",1800,Delhi,4.2
Pindi,"North Indian,  Chinese,  Mughlai",2500,Delhi,4.4
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Delhi,4.4
TOS - Take Off Scarlet,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1200,Delhi,3.9
Veg Gulati,"North Indian,  Biryani,  Indian Cuisine",1200,Delhi,4.4
Judge & Jury,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",1400,Delhi,4.1
The DineRoom,"North Indian,  Italian,  Chinese",1000,Delhi,4.2
Qbic Cafe,"North Indian,  Chinese,  Continental,  Italian",1200,Delhi,4.3
1 Oak Cafe & Bar,"Finger Food,  Italian,  Continental,  Asian",1600,Delhi,4.2
Zaika Foods,"North Indian,  Chinese,  Mughlai",500,Delhi,4
The Chatter House,"North Indian,  Italian,  Continental",2600,Delhi,4.2
Dilli Gate,"North Indian,  Chinese,  Mughlai",600,Delhi,4.5
Imly,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",800,Delhi,3.8
Ichiban,"Chinese,  Thai,  Japanese",800,Delhi,4.5
Talli Station,"North Indian,  Chinese,  Fast Food",1500,Delhi,4.1
Sly Granny,"European,  American",2500,Delhi,4.5
Naivedyam,South Indian,500,Delhi,4.3
Lanterns Kitchen & Bar,"Finger Food,  North Indian,  Italian,  Chinese",1600,Delhi,4.2
Gola Sizzlers,"Sizzlers,  North Indian,  Chinese",1200,Delhi,4
Out Of The Box,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ,  Tex Mex",2000,Delhi,4.1
Wok in the Clouds,"Chinese,  Thai,  Asian,  North Indian,  Continental",2200,Delhi,4.3
MGM Club,"North Indian,  Mughlai,  Chinese",1800,Delhi,4.4
Sandoz,"North Indian,  Chinese",1000,Delhi,4.3
Molecule Air Bar,North Indian,1500,Delhi,4.2
Spezia Bistro,"Fast Food,  Italian,  Continental,  Oriental ",1200,Delhi,4.5
Clue,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",1500,Delhi,3.9
Thalassery Restaurant,"North Indian,  Chinese,  Fast Food",800,Delhi,5
Anglow,"North Indian,  European,  Continental",2200,Delhi,4.3
Yellow Brick Road,"Continental,  North Indian,  Italian,  South Indian",3500,Delhi,4.4
Suruchi,"Rajasthani,  North Indian,  Gujarati",800,Delhi,4.2
Sevilla,"Italian,  Spanish",5000,Delhi,4.5
Sandoz,"North Indian,  Chinese",1000,Delhi,4.3
Aura,Finger Food,4000,Delhi,4.7
BFF (Beer Food Feast) Restro Bar,"North Indian,  Continental,  Oriental ,  Finger Food",2000,Delhi,4.1
La Vie Pizzeria,"Italian,  Pizza",1500,Delhi,4.3
Punjab Grill,"North Indian,  Mughlai",2200,Delhi,4.1
Castle Barbeque,"North Indian,  Chinese",2000,Delhi,4
Lazeez Affaire,"North Indian,  Chinese,  Mughlai",2600,Delhi,4.4
Gola Sizzlers,"Sizzlers,  North Indian,  Chinese",1200,Delhi,4.2
Socia L Affaire,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",1500,Delhi,3.6
Jade,"Chinese,  Seafood",2500,Delhi,4
Lazy Bear,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1100,Delhi,4.1
Local heights,North Indian,800,Delhi,3.8
Kaarobaar,"North Indian,  Fast Food,  Chinese",900,Delhi,3.9
SAZ,American,3000,Delhi,4.2
The Waffle Co.,"Desserts,  Waffle,  Shakes",400,Delhi,5
Qubitos - The Terrace Cafe,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",1500,Delhi,4.1
Bell Pepperz,"North Indian,  Oriental ",1200,Delhi,4.4
